,,,date,,tweet_processed,,,target
0,,,12/31/2016,,2016 was the best year so far   ,,,0
7,,,12/31/2016,,So over new years think I'm just going to sleep into the new year.  ,,,0
14,,,12/31/2016,,I miss her so much ???© ,,,0
18,,,12/31/2016,,World is crumbling around me but hey...2017 is nearly here...that should fix everything!! Haha yeah right :/  ,,,0
21,,,12/31/2016,,"don't know why i was   yesterday (yes i do) but today im usual happy, but fatigued. :)",,,0
25,,,12/31/2016,,Happy New Year Got so much to do over next few months it's overpowering. Guess I'll start 2017  and try to work towards happy...,,,0
31,,,12/31/2016,,no new years looks tonight girlies i am ,,,0
53,,,12/31/2016,,??íïit will be ok ??íï    pic.twitter.com/di7n1sDxAS,,,0
54,,,12/31/2016,,properly n also i am super  i jus wanna deactivate again,,,0
73,,,12/31/2016,,Sometimes  starts from being  or . For support and advice call 0808 808 2234. rb  pic.twitter.com/ie8cGAUNMv,,,0
90,,,12/30/2016,,We were going to bdubs today but not anymore  cacacaca,,,0
99,,,12/30/2016,,Having holiday for the first time in 4/5 years ‚Ä¶ and i hate it.   ,,,0
181,,,12/30/2016,,The only bad thing about reading:  finishing a great book/series and getting sad that the story is over. ,,,0
183,,,12/30/2016,,Made my day. Thankyou very much!! ... ,,,0
185,,,12/30/2016,,Mystery solved. No wonder I'm a   ???Ç???≠ pic.twitter.com/axTpaQ3h0t,,,0
190,,,12/30/2016,,??íïyou are significant ??íï    pic.twitter.com/28QHqxYkc9,,,0
191,,,12/30/2016,,Let's window-shop for pretty NYE dresses even though we know we'll be bedridden that night. Doesn't that sound fun??  ,,,0
193,,,12/30/2016,,When you repress your emotions so much it takes days to figure out you're not just being tired and lazy ,,,0
199,,,12/30/2016,,How is it that a  and  person can plan better for life than the people who wanna live?!,,,0
208,,,12/30/2016,,???î???î???î???î???î???î???î  Until the Game is officially over. I assume a Loss... Why?? Bylsma and Lehner. ???î???î???î???î???î???î???î ,,,0
209,,,12/30/2016,,"With two nurses in the family, dinner conversations consists of sad stories, bodily fluids and everything in between  ",,,0
213,,,12/30/2016,,Just got back home to Orlando ...or should I say just got back to my place of living Bc this doesn't feel like home.  ???©,,,0
218,,,12/29/2016,,Saving up to buy a house so I guess I should stop going to the movies more than once to see my new favorite Disney movies ,,,0
223,,,12/29/2016,,I saw a wiener dog last night and I didn't pet it :( ,,,0
226,,,12/29/2016,,Damn braids snatched out my edges ???©???©??ôÑ ,,,0
230,,,12/29/2016,,There's only 2 things people can do for me. 1 help me become happy 2 explain to CID why my death wasn't prevented.  ,,,0
231,,,12/29/2016,,What a pain in the ass day. ,,,0
241,,,12/29/2016,,Halloweentown was my fave Halloween movie.   :'),,,0
242,,,12/29/2016,,"life is too hard, and you don't have a clue to it. guess what, doing nothing can also kill yourself. ",,,0
253,,,12/29/2016,,Deeply saddened about Carrie Fisher and Debbie Reynolds passing. My heart goes to their family and friends.  ,,,0
254,,,12/29/2016,,If youre  youre living in the past. If youre  youre living in the future.  If youre at  youre living in the present,,,0
256,,,12/29/2016,,When monty and I read a list of all the great people we lost this year   ,,,0
257,,,12/29/2016,,??íïyour feelings are important ??íï    pic.twitter.com/POSQSHqCna,,,0
265,,,12/29/2016,,lexis so beautiful it makes me ,,,0
273,,,12/29/2016,,why am i so ?‚Ä¶.oh that‚Äôs right I‚Äôm writing .,,,0
291,,,12/28/2016,,The team looked so uninspired after 20-30 mins day. You'd think the HT team talk would have helped. Guess again.  ,,,0
292,,,12/28/2016,,my vibe is being  and  in my local Texas Roadhouse,,,0
296,,,12/28/2016,,"A year ago we was 38,000ft up in the air, en route to Australia via Dubai.....  pic.twitter.com/FAFcKWtNJ3",,,0
305,,,12/28/2016,,wen u post '' one time  pic.twitter.com/L8up5r4D7v,,,0
307,,,12/28/2016,,"I hate it when my brother thinks, it would be funny to make jokes about me ???§????  af ",,,0
314,,,12/28/2016,,"tl;dr looks a lot of (foreign) family overseas as well, since it might be more like ",,,0
319,,,12/28/2016,,West side story was literally the worst movie I have ever seen... Why do people like it??? ,,,0
327,,,12/28/2016,,"I thought this was supposed to be a happy time of year, but honestly this is always the most depressing time of the year. ",,,0
328,,,12/28/2016,,You let me drown in my own tears which held everything I hated and regretted. I once loved you. How could you? ,,,0
329,,,12/28/2016,,i missed lunch bc i was doing an evaluation and it's wing wednesday ,,,0
330,,,12/28/2016,,This time last year me and Ronan were in Prague ???´???´ ,,,0
337,,,12/28/2016,, ‚Äî listening to Ae Dil Hai Mushkil Title Track,,,0
338,,,12/28/2016,,Please can all the famous people take NOTE we have 3 days left of 2016. I'm done don't wanna c another they'll be missed message ,,,0
340,,,12/28/2016,,"People come and go, but life is simply about seeing who cares enough to stay. ",,,0
342,,,12/28/2016,,??íïit will be alright ??íï    pic.twitter.com/9yAw9Ze9BT,,,0
343,,,12/28/2016,,these gachas on both deresute and enstars. ,,,0
344,,,12/28/2016,,They say it's not my fault but I feel like it is. ???•???¢???∞ ,,,0
346,,,12/28/2016,,Being sun deprived in an office for 9 hours a day is keeping me from my old blonde days ,,,0
350,,,12/28/2016,,   i want to flashback and skip 2016,,,0
370,,,12/27/2016,,"Oh dear, we are a bad lot, we specialise in making bang average teams look like superstars ",,,0
377,,,12/27/2016,,Carrie Fischer also known as Princess Leia passed away. ??íî ,,,0
378,,,12/27/2016,,"I always love my family, I always love you as my sister, but not anymore. You are not the same.   ",,,0
379,,,12/27/2016,," oh dear, that ending was depressing! Nothing says Merry Christmas like a murder, plot twist+suicide ??ôà ",,,0
388,,,12/27/2016,,No! No! No!!!    pic.twitter.com/vpoZSMSbXL,,,0
392,,,12/27/2016,,"Drunk and singing along to bmth, asking alexandria and of mice and men, rip my parents eardrums  ",,,0
393,,,12/27/2016,,More terrible news Dammit! I'm about to punch 2016 in the dick!! ,,,0
396,,,12/27/2016,,I literally can't even with the news about Carrie Fisher!   ,,,0
398,,,12/27/2016,,what a long ass weekend!!!   ,,,0
403,,,12/27/2016,,"Im getting drunk on mont blanc ,watching big bang theory and eating cake.  ",,,0
422,,,12/27/2016,,Why doesn't Christmas last longer ???© ,,,0
424,,,12/27/2016,,No Sawamura dose since last week. ,,,0
427,,,12/27/2016,,When they end your favourite tv show with the main character dying....   ,,,0
432,,,12/27/2016,,Fresh wounds are best means of relief from inner stress...   ,,,0
435,,,12/27/2016,,I dreamt my barber was sick on haircut day bro.. i lost weight in my sleep ???≠???≠   pic.twitter.com/Utaiw8JShW,,,0
439,,,12/27/2016,,??íïyou are respectable ??íï    pic.twitter.com/NiQXmIwMda,,,0
446,,,12/27/2016,,I'm trying not to be  enough to start posting song lyrics. Can I just sleep until 2017?,,,0
449,,,12/27/2016,,"""Me Before You"" has me crying my eyes out right now ",,,0
451,,,12/27/2016,,10pm laying in bed eating a chocolate SANTA ???Ö...   is over,,,0
454,,,12/27/2016,,Is it me or  people write better ?,,,0
461,,,12/27/2016,,January & February often worse for people who are . Seek help.,,,0
462,,,12/26/2016,,I just wanna lay up with bae rn ,,,0
463,,,12/26/2016,,NOOOO! One of my car speakers just blew out ??î????´???≠???∂ ,,,0
465,,,12/26/2016,,"If you're so  that you had a dream you died and then you were annoyed when you woke up, clap your hands! ??ëè??èΩ??ëè??èΩ??ëè??èΩ",,,0
469,,,12/26/2016,,When you gotta hold your charger a certain way for your phone to charge feeling  lol,,,0
470,,,12/26/2016,,What a blah day!   pic.twitter.com/sQaReKF3Ly,,,0
473,,,12/26/2016,,We got a whole 364 before Christmas ,,,0
478,,,12/26/2016,,"When your entire dance company that you haven't seen in years is getting together, but you're the only one not going ",,,0
480,,,12/26/2016,,I really just can't live life accepting the fact that Chris Pratt is married to someone else ,,,0
482,,,12/26/2016,,Yesterday I lost 500 days worth of streaks with 5 different people ,,,0
484,,,12/26/2016,,I'm trying really hard to find a reason to be positive about today and keep coming up empty   pic.twitter.com/4j8PkbxzMg,,,0
485,,,12/26/2016,,"? Today eat healthy food, remember your accomplishments, get some exercise, hang w/ good people & don't be hard on yourself.",,,0
487,,,12/26/2016,,Possibly the worst 90 min commentary I've sat through. The only consolation is not having a 225 mile drive home.  ,,,0
488,,,12/26/2016,,When your family emotional blackmail you to do something against your will.     ,,,0
510,,,12/26/2016,,"how they seemed to be trying to get people who ask me to block them, but I'm guessing it would be more like ",,,0
511,,,12/26/2016,,??íïyou are supported ??íï    pic.twitter.com/4YrE8XNRtQ,,,0
522,,,12/26/2016,,  another great talent lost to us. songs stay with us forever. Odd but last Christmas playing everywhere this yr.,,,0
540,,,12/26/2016,,!!   2016 officially the worst year in history!!! ,,,0
543,,,12/25/2016,,Only the insecure withhold praise of another's achievements     ,,,0
544,,,12/25/2016,,Does anyone else feel really weird at night time on christmas day? Like it's over after all that fuss n it's just GONE ??? ,,,0
555,,,12/25/2016,,Just found out I am only 4 days younger than Shane Meadows - thank god I've achieved as much as he has!  ,,,0
556,,,12/25/2016,,I'm ready to jus turn my phone off ????,,,0
557,,,12/25/2016,,I love Christmas but this year it just isn't the same... I can't figure out what it is either... ,,,0
558,,,12/25/2016,,I use this social media outlet to bitch. It's my bitching platform. I'm quiet on everything else. It's not like anyone cares. ,,,0
559,,,12/25/2016,,Making  might help lift more  people out of the dumps than common antidepressant medications do,,,0
573,,,12/25/2016,,Christmas Day meltdown. An hour of arguing in the street while trying to walk to lunch at her parents. ,,,0
578,,,12/25/2016,,For all the years I took the lynx box sets for granted and this year I didn't get one ???¢???Ç ,,,0
587,,,12/25/2016,,??íïyour views are valid??íï    pic.twitter.com/u2CjqKMTlx,,,0
589,,,12/25/2016,,Family when one is missing holidays dont feel right.   ,,,0
597,,,12/25/2016,,User of  unable to think clearly or retain that was learned & will probably be quite . He may suffer periods of .,,,0
603,,,12/25/2016,,I hate that I can't get everyone in my family a gift but I'm on a fixed income ???¢   ,,,0
605,,,12/25/2016,,When all you want to do is spend Christmas w. Your husband & mommy but none of that is possible so I'll drink for the next 2 days ,,,0
606,,,12/25/2016,,I can't even turn up for the holidays  ,,,0
608,,,12/25/2016,,I know Christmas isn't about gifts but honestly I got my sister a tablet and she got me a ring light for my phone ???§???£   #,,,0
611,,,12/25/2016,,): it's not xmas eve w/o you boo @_BTSophie ,,,0
612,,,12/25/2016,,In the gym trying to clear my mind. ,,,0
613,,,12/25/2016,,Talk about a roller coaster season. ,,,0
617,,,12/24/2016,,For those feeling   or  during this festive period feel free to reach out. Here to listen ??ëç??èª,,,0
621,,,12/24/2016,,I thought nothing bad happened on Christmas Eve!!!!   ,,,0
637,,,12/24/2016,,Completely sick ??§í On my way to the hospital instead of a Christmas party ???ß  ,,,0
647,,,12/24/2016,,Moto x play showed software update but only security update(66mb) ...no  .. ,,,0
650,,,12/24/2016,,Aw man im outta pizza rolls ,,,0
651,,,12/24/2016,,??íïit will be ok??íï    pic.twitter.com/6zCi1PJhdB,,,0
652,,,12/24/2016,,i am so sorry this happiness came about rather unexpectedly ill try to keep my 11:11 tweets more  from now on,,,0
658,,,12/24/2016,,I had no idea a peanut butter milk shake was an option ,,,0
660,,,12/24/2016,,Bruno Mars' 24K but instead of  it's  ,,,0
661,,,12/24/2016,,Then come Jan 1 . Like u can just stop depression kmt  pic.twitter.com/ejRYNYHN6s,,,0
694,,,12/23/2016,,Going through the clothes I brought home and realize I left my one great pair of jeans in Wilm ,,,0
706,,,12/23/2016,,just ripped my favorite pair of pajama pants.   ,,,0
708,,,12/23/2016,,Still can't fit any of my jeans. ,,,0
714,,,12/23/2016,,Why do work keep giving me alcohol!!! ???´???´   pic.twitter.com/rIydwINNkn,,,0
717,,,12/23/2016,,slowly your heart peeled off itself...  ,,,0
718,,,12/23/2016,,"If u r , u r living n the past. If u r anxious, u r living n the future. If u r @ peace, u r living n the present-Lao Tzu ",,,0
723,,,12/23/2016,,"yeah, external power structures, and there for, ultimately, about 500L, but I'm guessing it would be more like ",,,0
725,,,12/23/2016,,"Love you all tonight. If the holiday makes u feel  or lonely & u need someone to talk to, tweet me. I'll open my inbox for you. <3",,,0
730,,,12/23/2016,,It just hit me that Ms lopez isn't gonna be my teacher anymore ???≠???≠ ,,,0
731,,,12/23/2016,,??íïyou are loved ??íï    pic.twitter.com/iV1owHaj1Q,,,0
737,,,12/23/2016,,"It is 4:30 AM, crying baby since 1 and my missus is tucked up in bed with earplugs. Not her problem...   ",,,0
744,,,12/23/2016,,You know things are bad when your emotions slide because WordPress blocks one of your blog posts.  ,,,0
752,,,12/22/2016,,Finished gossip girl. Feeling   & ,,,0
757,,,12/22/2016,,LOVE ordering expensive gifts and receiving something NOT AT ALL like the discription or the color presented :-( ,,,0
765,,,12/22/2016,,First Christmas in YEARS that I have to work.  it just doesn't feel the same.,,,0
776,,,12/22/2016,,When your idol Julius is murdered by senators... ,,,0
791,,,12/22/2016,,"People bring you down. Love fails from time to time. You get lost, then can't find your way.   ",,,0
803,,,12/22/2016,,??íïyou are valid??íï     pic.twitter.com/YlAjyOLfaU,,,0
813,,,12/22/2016,,A UK loss to Louisville makes my heart hurt.  ,,,0
818,,,12/22/2016,,"When you text your mom ""there's something wrong with me"" and she don't answer :) ",,,0
821,,,12/21/2016,,"People change for 2 reasons: 1-They have learned a lot, or they have been hurt too many times  ",,,0
824,,,12/21/2016,,"I'd never actually watched the whole of Ugly Betty,so I watched it all & now I'm depressed,I need an ending! ???≠  ",,,0
832,,,12/21/2016,,Before you diagnose yourself as  make sure your not surrounded by assholes - William Gibson,,,0
833,,,12/21/2016,,Relative of a neighbor of mine died in accident while shopping for and on his little girl's birthday...Really?   ????????,,,0
837,,,12/21/2016,,I feel bad no money for gifts for anyone I pay my bills money is gone   ,,,0
840,,,12/21/2016,,i ran out of hot chocolate and now i'm never going to get out of bed  :(,,,0
855,,,12/21/2016,,I'm stuck in a situation ! Wanna get rid of this but ways are closed ! Trapped !     ,,,0
856,,,12/21/2016,,"Everyone writing ""1 more day"" and I'm on right up until Christmas Eve ‚?πÔ∏è ",,,0
859,,,12/21/2016,,Still haven't get a chance to watch Sing. :< .,,,0
